10 13
45 68 24244
45 69 18009
45 70 10334
45 71 28353
45 72 9209
45 73 16
45 74 348
45 75 5251
45 76 8900
45 77 23356
45 79 4232
45 80 26800
45 83 17276
45 84 8372
45 87 24811
45 88 23256
45 90 11175
45 91 15148
45 92 18522
46 47 30448
46 48 2854
46 49 5900
46 50 18939
46 51 20627
46 52 30047
46 53 6717
46 54 17112
46 55 15084
46 56 2462
46 57 11703
46 58 9353
46 59 2236
46 60 18569
46 61 20851
46 62 17184
46 64 21684
46 66 30245
46 67 30383
46 68 3710
46 69 8242
46 70 13246
46 71 8632
46 72 10696
46 73 18386
46 74 32088
46 75 24810
46 76 10557
46 77 10644
46 78 32387
46 79 1328
46 80 22543
46 82 9702
46 84 1454
46 85 25603
46 86 6619
46 87 24371
46 88 27329
46 89 5128
46 90 10207
46 92 17399
46 93 27298
47 48 27663
47 49 11608
47 51 22205
47 52 24195
47 53 23565
47 54 21358
47 55 12887
47 56 7847
47 57 1498
47 58 22086
47 59 30548
47 60 23013
47 61 8332
47 62 17225
47 63 28596
47 64 3552
47 65 29298
47 66 16422
47 67 8524
47 69 28335
47 70 1091
47 71 9168
47 72 27086
47 73 9614
47 74 7272
47 75 4637
47 76 4413
47 77 29553
47 79 9077
47 80 24897
47 81 21173
47 82 23822
47 83 15575
47 84 17327
47 87 27073
47 88 29445
47 90 22423
47 91 19685
47 92 6083
47 93 726
48 49 26431
48 50 23711
48 51 4024
48 52 27215
48 53 23905
48 56 3206
48 57 25669
48 58 30455
48 59 8177
48 60 25030
48 61 3750
48 62 32167
48 63 4214
48 64 20336
48 65 13134
48 66 1319
48 67 22860
48 68 24589
48 69 30522
48 70 15204
48 71 20932
48 72 22957
48 73 22225
48 74 17793
48 75 824
48 76 12011
48 77 2319
48 80 21891
48 81 3333
48 82 17764
48 84 24668
48 85 30630
48 86 16494
48 87 13952
48 88 1965
48 89 16410
48 90 17608
48 91 10412
48 92 23124
48 93 3393
49 50 4985
49 51 30170
49 53 15479
49 54 3424
49 55 12149
49 56 17836
49 57 15135
49 58 21440
49 59 23669
49 60 3030
49 62 10492
49 63 31235
49 64 28100
49 65 28221
49 66 30814
49 67 10811
49 69 19092
49 70 30356
49 71 25415
49 72 7418
49 73 8450
49 74 2997
49 76 29647
49 78 563
49 79 28213
49 80 12852
49 81 29002
49 83 3253
49 84 9748
49 85 7038
49 86 21288
49 87 22082
49 88 3129
49 89 9098
49 90 19763
49 91 30206
49 92 14299
49 93 16029
50 51 3834
50 54 1170
50 55 11146
50 56 29082
50 57 29344
50 59 7404
50 60 26865
50 61 2408
50 63 12300
50 64 21447
50 65 26530
50 66 10517
50 67 32198
50 68 12425
50 69 16075
50 70 23496
50 71 7512
50 72 30689
50 74 23234
50 75 26224
50 76 22942
50 77 18848
50 78 30079
50 79 9547
50 80 16286
50 82 17855
50 83 12504
50 85 1861
50 86 18991
50 87 13711
50 88 29408
50 89 28508
50 90 24482
50 91 13879
50 93 21969
51 52 26956
51 53 31755
51 54 28272
51 55 27531
51 56 8618
51 58 1341
51 59 21974
51 60 15719
51 61 29407
51 62 27068
51 63 12957
51 64 28917
51 65 20333
51 66 14451
51 67 32350
51 68 16755
51 69 20814
51 70 26584
51 71 18224
51 72 3614
51 73 29875
51 74 169
51 76 24353
51 77 15832
51 78 5255
51 79 11737
51 80 5392
51 82 17406
51 83 28858
51 84 27938
51 85 13792
51 87 4508
51 88 30571
51 89 24415
51 90 8237
51 92 23599
51 93 32443
52 53 16186
52 55 19127
52 56 14234
52 57 3940
52 58 31666
52 59 4599
52 60 14671
52 61 22152
52 62 27636
52 63 10371
52 64 16563
52 65 19355
52 66 9140
52 67 7751
52 68 14454
52 69 20573
52 70 5550
52 71 3191
52 72 4666
52 73 24270
52 74 18127
52 75 20743
52 76 10218
52 77 20925
52 78 8633
52 79 2548
52 80 4269
52 82 14598
52 83 524
52 84 2909
52 85 4072
52 87 28213
52 88 11871
52 89 24566
52 90 23802
52 92 1332
52 93 6620
53 54 23939
53 55 22965
53 56 2688
53 57 4195
53 59 29816
53 60 4444
53 61 18625
53 62 789
53 63 20454
53 64 31948
53 65 686
53 66 18885
53 67 16596
53 68 17783
53 69 9963
53 70 4054
53 72 12215
53 73 11883
53 74 20282
53 76 17268
53 77 18070
53 79 30718
53 81 16379
53 82 336
53 83 19286
53 84 20503
53 86 30409
53 89 27742
53 90 8708
53 91 19375
53 92 12834
53 93 24043
54 55 5326
54 58 7916
54 59 31268
54 60 3132
54 61 19225
54 62 9609
54 63 13828
54 64 28038
54 66 24425
54 67 11111
54 69 17132
54 70 15614
54 72 1161
54 73 3289
54 74 5573
54 75 13994
54 77 29733
54 78 27229
54 79 18396
54 80 10135
54 82 9054
54 83 18160
54 84 10723
54 85 29513
54 86 10842
54 87 3348
54 88 20490
54 89 20292
54 90 29097
54 91 29041
54 92 7483
54 93 30194
55 56 26173
55 58 4635
55 59 10991
55 60 11727
55 61 7137
55 62 21503
55 63 4078
55 64 21470
55 65 30401
55 66 31698
55 67 22552
55 70 11778
55 71 24286
55 72 11093
55 74 2548
55 75 27797
55 76 29866
55 77 18841
55 78 22636
55 79 22406
55 80 15436
55 81 3882
55 82 5419
55 83 30131
55 84 18965
55 85 7759
55 86 13756
55 87 32535
55 88 13775
55 89 9811
55 90 1753
55 91 2466
55 92 6357
55 93 30779
56 57 32140
56 58 27807
56 59 19209
56 60 32613
56 61 6414
56 62 6931
56 63 4660
56 64 29826
56 65 10474
56 66 11716
56 67 26190
56 68 2680
56 69 5466
56 70 11317
56 71 21598
56 72 4225
56 73 3666
56 74 19400
56 77 9716
56 78 29734
56 79 22332
56 80 30053
56 81 20604
56 82 18634
56 83 22060
56 84 5021
56 85 10294
56 86 25513
56 87 27543
56 89 22460
56 91 8334
56 92 18113
56 93 4159
57 58 26572
57 59 16955
57 60 5657
57 61 21762
57 62 19394
57 63 25352
57 65 17597
57 66 15048
57 67 4477
57 68 9652
57 69 23203
57 71 11081
57 72 26270
57 73 6304
57 74 3239
57 76 1942
57 77 15265
57 78 3968
57 79 31324
57 80 15170
57 81 2768
57 82 20824
57 83 13209
57 84 29361
57 85 22246
57 86 30519
57 87 13337
57 88 20492
57 89 7141
57 90 7859
57 91 6709
57 92 9024
57 93 11130
58 59 16903
58 60 16158
58 61 857
58 62 5204
58 63 13109
58 64 2722
58 65 6480
58 66 497
58 67 4171
58 68 15674
58 70 28887
58 71 19343
58 72 24922
58 74 27635
58 75 26939
58 76 24760
58 77 20131
58 78 30754
58 79 718
58 80 30470
58 82 28069
58 83 18421
58 84 18515
58 85 17595
58 86 381
58 87 5900
58 88 3437
58 90 3928
58 91 21266
58 92 228
58 93 12589
59 60 9540
59 61 30890
59 62 30573
59 63 20324
59 64 7968
59 65 29825
59 66 21793
59 67 10526
59 68 15673
59 69 31061
59 70 14749
59 71 25094
59 72 5849
59 73 16244
59 74 4030
59 75 30285
59 77 15215
59 78 30778
59 79 4230
59 80 617
59 82 14087
59 83 6927
59 84 1994
59 85 25278
59 86 10342
59 87 7062
59 88 24714
59 89 32744
59 90 28652
59 91 7524
59 92 5873
59 93 27649
60 61 20904
60 62 7041
60 63 13371
60 64 8877
60 65 26454
60 66 30501
60 67 26815
60 68 14249
60 69 1339
60 70 9451
60 71 21633
60 73 16604
60 74 7457
60 75 24710
60 77 18156
60 78 5958
60 79 13671
60 83 28369
60 84 22207
60 85 27018
60 86 24541
60 88 31850
60 89 8254
60 91 21932
60 92 2452
60 93 9093
61 62 5428
61 63 1555
61 64 9034
61 65 22743
61 66 10240
61 67 4247
61 68 32686
61 70 20523
61 71 15383
61 72 30195
61 73 26923
61 74 32119
61 75 16204
61 76 4204
61 77 117
61 78 20634
61 79 6016
61 80 13442
61 81 26352
61 82 27390
61 83 31581
61 84 28566
61 85 5725
61 86 19287
61 87 5517
61 88 26340
61 89 4104
61 90 15580
61 91 9177
61 92 2350
61 93 27459
62 63 29410
62 64 32205
62 65 9528
62 66 6768
62 67 25201
62 68 31476
62 69 16947
62 72 14250
62 73 4172
62 74 21281
62 75 31609
62 76 20729
62 77 26639
62 79 31003
62 80 7412
62 81 13418
62 82 4622
62 83 8272
62 84 28958
62 85 13073
62 86 14241
62 87 16892
62 88 25913
62 89 23483
62 91 23574
62 92 14879
62 93 22420
63 64 4553
63 65 6179
63 66 6907
63 67 29327
63 68 179
63 69 18451
63 71 4938
63 72 19940
63 73 22519
63 74 11311
63 75 5994
63 76 9268
63 77 31127
63 78 6721
63 79 29657
63 80 4361
63 81 24919
63 82 6121
63 83 13192
63 84 31316
63 85 13895
63 86 25581
63 88 14183
63 89 15760
63 90 20909
63 91 16925
63 92 31184
63 93 25541
64 65 1049
64 66 18084
64 68 13118
64 69 10853
64 70 18056
64 71 24900
64 72 11077
64 73 15661
64 74 9191
64 76 816
64 77 30100
64 78 24684
64 79 8201
64 80 18934
64 81 32140
64 82 27694
64 83 22941
64 84 17060
64 85 14040
64 86 231
64 87 13428
64 88 32412
64 89 6973
64 90 5549
64 91 4996
64 92 18415
64 93 3110
65 66 4182
65 67 644
65 68 5212
65 69 12233
65 70 20776
65 71 21711
65 72 3510
65 73 18247
65 74 8011
65 75 28878
65 76 29054
65 77 24603
65 78 29939
65 79 5573
65 80 5722
65 81 24505
65 82 9494
65 83 2673
65 84 15209
65 85 24733
65 86 26872
65 87 24986
65 89 16400
65 90 11540
65 91 23639
65 92 23319
66 67 6882
66 68 20068
66 70 1061
66 71 6973
66 72 28226
66 73 24897
66 74 30756
66 77 5321
66 79 6859
66 81 30782
66 82 28592
66 83 24953
66 84 15499
66 85 11211
66 87 5563
66 89 272
66 90 30866
66 91 29987
66 92 971
66 93 23326
67 68 7434
67 69 31102
67 70 25830
67 73 23471
67 74 27722
67 76 14719
67 78 11004
67 79 3905
67 80 25207
67 81 2156
67 82 22902
67 83 22022
67 85 31786
67 86 31452
67 87 12742
67 88 3567
67 89 4705
67 91 24096
67 92 22530
67 93 15363
68 69 26269
68 70 29220
68 72 4429
68 74 15404
68 75 11823
68 76 17109
68 77 6517
68 78 29895
68 79 16740
68 80 20544
68 81 10308
68 82 16238
68 83 3794
68 84 15133
68 85 5185
68 87 27291
68 88 22268
68 89 1283
68 90 27359
68 91 21659
68 92 22213
69 70 5847
69 71 26638
69 72 25290
69 73 2196
69 74 23724
69 75 12076
69 76 7854
69 77 1371
69 78 12154
69 79 29869
69 80 2464
69 81 7676
69 82 13283
69 83 27420
69 84 26417
69 85 17392
69 86 23905
69 87 3076
69 89 26850
69 90 15871
69 91 1811
69 92 28451
69 93 30651
70 71 26576
70 72 25518
70 73 32329
70 74 1302
70 75 32250
70 76 30398
70 77 14538
70 78 8029
70 79 28238
70 80 26574
70 81 9991
70 82 22885
70 83 15477
70 84 13645
70 85 1003
70 86 1356
70 87 25177
70 88 18783
70 89 25908
70 91 10130
70 92 12846
70 93 24011
71 72 24262
71 73 11434
71 75 1301
71 76 17593
71 77 22252
71 78 8416
71 79 19443
71 81 10606
71 82 28453
71 83 19343
71 84 6130
71 85 31878
71 86 1362
71 87 2346
71 88 6534
71 89 8345
71 90 8222
71 91 6846
71 93 9677
72 73 28009
72 75 20671
72 76 26297
72 78 1854
72 79 10412
72 80 31374
72 81 11018
72 83 8585
72 85 14840
72 86 32080
72 87 12919
72 88 28808
72 89 18739
72 90 23935
72 91 9965
72 92 17676
72 93 1723
73 74 26400
73 75 1550
73 76 7570
73 78 27113
73 79 2799
73 80 12186
73 81 24334
73 82 5910
73 83 2342
73 84 16473
73 85 24992
73 86 24384
73 87 27050
73 88 19504
73 89 26192
73 90 67
73 91 31912
73 92 28579
73 93 8625
74 75 22744
74 76 5298
74 77 16788
74 78 8949
74 79 121
74 80 29333
74 81 13104
74 82 32261
74 83 1509
74 84 346
74 85 12614
74 87 5552
74 89 4076
74 90 20162
74 91 28467
74 92 3405
74 93 12147
75 76 31494
75 77 18888
75 78 9830
75 80 14878
75 81 6940
75 82 13320
75 83 18961
75 85 32643
75 86 7671
75 88 12609
75 89 23515
75 90 22501
75 91 15692
75 92 16020
75 93 31366
76 77 16711
76 79 4863
76 80 3713
76 81 22337
76 82 2117
76 83 19568
76 84 15850
76 85 17376
76 86 5156
76 87 6143
76 88 16420
76 89 24615
76 90 11724
76 91 14141
76 92 4595
77 78 1414
77 79 18541
77 80 12345
77 81 16725
77 83 17329
77 84 10554
77 85 18900
77 86 6827
77 87 14560
77 88 31017
77 89 3987
77 90 3212
77 92 20881
77 93 23330
78 80 17241
78 81 12901
78 82 25866
78 83 12418
78 84 21223
78 86 13314
78 88 9804
78 90 25723
78 91 24707
78 92 5236
78 93 7698
79 80 30296
79 81 9701
79 82 9760
79 83 28618
79 84 11855
79 85 28761
79 86 29797
79 87 15215
79 88 14180
79 89 30182
79 90 17385
79 91 24431
79 92 4809
79 93 19848
80 81 13281
80 82 880
80 83 22212
80 85 6226
80 86 424
80 87 16247
80 89 15262
80 90 406
80 91 3942
80 92 10209
80 93 13789
81 83 7209
81 84 21314
81 86 31672
81 87 13599
81 88 20272
81 89 7984
81 90 29325
81 92 9856
81 93 17994
82 83 16449
82 84 7865
82 85 21849
82 86 28982
82 87 7749
82 88 16121
82 89 29338
82 90 32355
82 91 24539
82 92 26867
82 93 19518
83 84 16274
83 85 13147
83 86 19797
83 87 22703
83 88 31332
83 89 20243
83 90 15583
83 92 9654
83 93 6839
84 85 22849
84 86 7299
84 87 13084
84 88 27666
84 89 11580
84 90 5449
84 91 875
84 92 989
84 93 17416
85 86 16681
85 87 28107
85 88 22948
85 89 14369
85 90 23463
85 93 17241
86 87 17686
86 89 23697
86 90 14379
86 91 15118
86 92 9261
86 93 11965
87 88 17510
87 89 14239
87 90 22528
87 91 22214
87 92 15010
87 93 23264
88 89 458
88 90 10922
88 91 7697
88 92 31202
89 90 2336
89 93 26141
90 91 4911
90 92 13286
90 93 7079
91 93 32062
136057919 205908595
29 348
1 2 29688
1 3 42
1 4 21460
1 6 15228
1 9 11686
1 10 14725
1 11 1843
1 12 19242
1 13 7503
1 14 32402
1 15 23847
1 16 15132
1 17 26707
1 18 4120
1 20 18914
1 21 15586
1 22 13943
1 23 12269
1 24 29079
1 25 14638
1 26 5187
1 27 9148
1 29 7777
2 3 32303
2 5 11862
2 9 22415
2 10 11029
2 12 4007
2 13 18664
2 14 10769
2 15 9922
2 16 9520
2 17 13913
2 18 19948
2 19 30927
2 20 27054
2 21 442
2 23 10373
2 24 31124
2 25 18068
2 26 31680
2 27 16292
2 29 19870
3 5 8769
3 6 2666
3 7 11743
3 8 6978
3 9 19275
3 10 4251
3 11 773
3 12 1052
3 13 20208
3 14 11606
3 15 18171
3 16 32379
3 17 31212
3 18 4079
3 19 3031
3 20 5834
3 21 10600
3 23 1781
3 24 6296
3 25 15271
3 26 28351
3 27 21467
3 28 24020
3 29 12759
4 5 21617
4 6 11126
4 7 15763
4 8 1036
4 9 3652
4 10 18701
4 11 25158
4 12 2204
4 13 25335
4 14 29202
4 15 4105
4 16 12174
4 17 25433
4 18 20088
4 19 10361
4 20 12702
4 21 10624
4 22 24976
4 23 32390
4 24 6037
4 25 28401
4 26 31049
4 27 16828
4 28 13771
4 29 14879
5 6 25996
5 7 13138
5 8 16724
5 10 4040
5 11 11720
5 12 17381
5 13 10787
5 14 19738
5 16 10860
5 17 19766
5 18 19428
5 19 561
5 20 16413
5 21 23224
5 22 16664
5 23 24642
5 24 17368
5 25 22178
5 26 7866
5 27 15714
5 29 29553
6 7 14812
6 8 14812
6 9 938
6 10 31103
6 11 31824
6 12 14424
6 13 21076
6 14 25948
6 17 29773
6 18 23309
6 19 17724
6 21 15528
6 22 1123
6 23 19302
6 24 3443
6 25 13672
6 26 12253
6 27 20678
6 28 6563
6 29 12195
7 8 30229
7 9 23948
7 10 26243
7 11 154
7 12 17789
7 13 18711
7 14 7847
7 15 12784
7 16 7863
7 17 9054
7 18 3731
7 20 26397
7 22 3955
7 23 11954
7 24 30115
7 25 26641
7 27 4020
7 28 16546
7 29 8041
8 9 32758
8 10 419
8 11 18059
8 12 10277
8 13 16685
8 14 27917
8 15 28551
8 16 13393
8 18 29725
8 19 22511
8 20 7404
8 21 30228
8 22 7312
8 23 1853
8 24 23662
8 25 25285
8 27 17315
8 28 16008
9 10 17378
9 11 12846
9 12 10734
9 13 26759
9 14 13675
9 15 11538
9 16 2685
9 17 5204
9 18 13796
9 19 8631
9 20 10939
9 21 12398
9 22 25410
9 24 1996
9 26 7803
9 27 31334
9 28 26192
10 11 18050
10 12 25634
10 13 18934
10 14 27781
10 15 19372
10 16 13168
10 17 24762
10 18 27159
10 20 3406
10 21 12057
10 22 3951
10 24 8241
10 26 817
10 27 14412
10 28 4334
10 29 6083
11 12 1404
11 13 22824
11 14 7289
11 15 681
11 16 1798
11 17 16722
11 18 12164
11 19 5133
11 20 221
11 21 23799
11 22 16325
11 24 6487
11 25 18157
11 26 7166
11 27 19505
11 28 3323
11 29 18479
12 15 1459
12 17 8532
12 18 6419
12 19 25436
12 20 8475
12 21 27320
12 22 15198
12 23 633
12 25 15447
12 26 27371
12 27 13832
12 29 21749
13 14 381
13 15 22033
13 16 5108
13 17 13045
13 19 13538
13 20 25706
13 21 25112
13 22 13324
13 24 4857
13 26 7292
13 27 5751
13 28 30126
13 29 14761
14 15 3885
14 16 11316
14 17 5837
14 18 7924
14 19 23480
14 20 24838
14 21 214
14 22 29233
14 23 21756
14 24 844
14 25 922
14 27 32032
14 28 6710
14 29 10104
15 17 26302
15 18 17282
15 21 14849
15 22 2063
15 24 29819
15 25 13105
15 27 5849
15 28 28506
16 17 17665
16 18 22193
16 19 9118
16 20 13421
16 21 23348
16 22 3893
16 26 19060
16 27 30635
16 29 30337
17 18 25408
17 19 7518
17 20 30825
17 21 6041
17 22 17249
17 23 6736
17 24 2647
17 25 29023
17 26 12579
17 27 24459
18 19 31383
18 20 11414
18 21 6226
18 22 25708
18 23 7524
18 24 24174
18 25 8095
18 26 2554
18 27 4204
18 28 4331
18 29 10254
19 20 22655
19 21 22240
19 22 6640
19 24 4205
19 25 29751
19 26 15798
19 27 9504
19 28 17929
19 29 9253
20 21 19906
20 22 11428
20 23 30126
20 24 29909
20 25 11215
20 26 11804
20 27 30614
20 28 1917
21 22 918
21 23 16942
21 24 2723
21 25 21340
21 26 12766
21 28 7135
21 29 28691
22 23 82
22 24 22367
22 25 4819
22 26 29844
22 27 14876
22 28 15699
22 29 2341
23 24 12899
23 25 27178
23 26 18290
23 27 31137
23 28 18033
23 29 9893
24 25 11896
24 26 2481
24 27 36
24 28 19715
24 29 18978
25 27 25702
25 28 5376
25 29 8753
26 27 29798
26 28 2987
26 29 22006
27 28 10755
27 29 11167
28 29 524
1581232538 293004340
60 1558
1 2 194
1 3 12825
1 4 22503
1 5 12798
1 6 44
1 7 31713
1 8 2859
1 9 30986
1 10 12295
1 11 5598
1 12 21515
1 14 2643
1 15 6536
1 16 22392
1 17 27086
1 18 9365
1 19 29303
1 20 10865
1 21 27031
1 22 30414
1 23 22010
1 24 12694
1 25 18829
1 27 28197
1 28 17326
1 29 2072
1 30 17783
1 31 20704
1 32 18687
1 33 5225
1 34 9720
1 36 23277
1 37 5359
1 38 14983
1 39 9584
1 40 25416
1 41 2923
1 42 19402
1 43 2581
1 44 22929
1 45 5714
1 46 28223
1 47 13104
1 48 20086
1 50 15370
1 51 5269
1 53 16557
1 55 10481
1 56 8027
1 57 5456
1 58 22093
1 59 16241
1 60 2204
2 3 5323
2 5 26024
2 6 22327
2 7 7392
2 8 10994
2 9 12161
2 10 17317
2 11 19524
2 12 2713
2 13 26923
2 14 12435
2 15 1131
2 16 26773
2 17 17261
2 18 28849
2 19 14565
2 20 1431
2 21 4049
2 22 28449
2 23 3097
2 24 8422
2 25 10247
2 26 10343
2 27 7956
2 28 5630
2 29 76
2 30 3052
2 31 17860
2 33 24117
2 35 22517
2 36 20731
2 38 27724
2 39 8667
2 40 9127
2 41 16184
2 42 18139
2 43 15850
2 44 23915
2 45 28870
2 46 29411
2 47 6269
2 48 8785
2 49 21157
2 50 5977
2 52 15439
2 53 7300
2 55 23196
2 56 6549
2 57 30111
2 58 4777
2 60 30676
3 4 12410
3 6 12496
3 7 29173
3 8 10345
3 9 19414
3 10 20523
3 11 22944
3 12 8936
3 13 11862
3 15 25532
3 16 24569
3 17 4744
3 18 11590
3 19 31679
3 21 1679
3 22 5329
3 24 25891
3 25 26966
3 26 18944
3 27 15951
3 28 5826
3 29 32481
3 30 7149
3 31 25377
3 32 30285
3 33 30425
3 34 2651
3 36 15567
3 37 4285
3 38 693
3 40 9186
3 41 19458
3 42 6671
3 43 8667
3 44 14870
3 45 25563
3 46 14938
3 47 16601
3 48 3348
3 49 12468
3 50 10965
3 51 15063
3 52 1216
3 53 17936
3 54 32428
3 55 16154
3 56 29422
3 57 12971
3 58 31308
3 59 27004
3 60 32644
4 5 23885
4 6 3753
4 7 4257
4 8 31546
4 9 15597
4 10 4680
4 11 25812
4 12 2054
4 13 10041
4 15 11637
4 16 3059
4 17 29857
4 18 30363
4 19 2157
4 20 29808
4 21 2505
4 22 23263
4 23 676
4 24 26056
4 25 22127
4 27 21627
4 28 17528
4 29 9102
4 30 15985
4 31 11625
4 32 9364
4 33 21110
4 35 24695
4 36 11243
4 37 2875
4 38 4421
4 39 30748
4 40 3501
4 41 32253
4 42 17332
4 43 9191
4 44 15249
4 45 19139
4 46 6403
4 47 8065
4 49 15544
4 50 4826
4 51 17386
4 52 3875
4 53 20206
4 55 7736
4 57 29129
4 58 7209
4 59 13418
4 60 32606
5 6 18097
5 7 30341
5 8 25435
5 10 553
5 12 4603
5 13 10345
5 14 8664
5 15 29841
5 16 9442
5 17 11636
5 18 30790
5 19 15192
5 20 8596
5 21 11629
5 22 8215
5 23 24724
5 24 11481
5 28 10077
5 30 15206
5 31 3567
5 32 17776
5 33 1253
5 34 31900
5 35 2573
5 36 28094
5 37 11087
5 39 6300
5 40 20391
5 41 31276
5 42 23878
5 43 12128
5 44 27853
5 45 29637
5 46 1069
5 47 20772
5 48 4534
5 49 32451
5 51 15394
5 52 3613
5 53 18649
5 55 10588
5 56 30757
5 57 2595
5 59 20895
5 60 6453
6 7 23443
6 8 3341
6 9 1126
6 10 8879
6 11 19099
6 12 31974
6 13 27190
6 14 9070
6 15 6110
6 16 7371
6 17 26336
6 18 2018
6 19 15462
6 20 21650
6 21 16595
6 22 17524
6 23 19496
6 25 7521
6 26 13951
6 27 459
6 28 4025
6 29 11037
6 31 6168
6 32 8526
6 33 17586
6 34 32238
6 35 12757
6 36 4256
6 37 30412
6 38 5001
6 39 7348
6 41 18904
6 42 4157
6 43 10944
6 44 24178
6 45 795
6 46 23504
6 47 12436
6 48 923
6 49 4162
6 50 3141
6 51 20432
6 52 26619
6 53 17527
6 54 27871
6 55 8030
6 56 18060
6 57 15002
6 58 10103
6 59 11479
6 60 6398
7 8 16184
7 9 8840
7 10 31356
7 11 31308
7 14 14869
7 15 22083
7 16 11868
7 17 26439
7 18 30434
7 19 32260
7 20 3150
7 21 15271
7 22 24013
7 24 2783
7 25 9566
7 26 16478
7 27 21096
7 28 8738
7 29 26265
7 30 2118
7 31 3112
7 32 9768
7 33 8749
7 34 31011
7 35 32243
7 36 19558
7 37 4621
7 39 11135
7 40 3047
7 41 7190
7 42 7008
7 43 12352
7 44 1562
7 45 21419
7 46 2517
7 47 10490
7 48 26469
7 49 16636
7 50 29944
7 51 20609
7 52 30460
7 53 10058
7 54 27707
7 55 20576
7 56 26434
7 58 32148
7 59 10843
7 60 15589
8 9 6722
8 10 19872
8 11 19680
8 12 28493
8 13 12502
8 14 4879
8 15 28958
8 16 4413
8 17 904
8 18 4480
8 19 3536
8 20 29322
8 21 14934
8 22 16466
8 23 26995
8 24 24903
8 26 23213
8 27 10908
8 28 11887
8 29 2836
8 30 7363
8 31 21604
8 32 13151
8 34 30587
8 36 16286
8 37 30601
8 38 27633
8 39 27925
8 40 2252
8 41 609
8 42 30657
8 44 5923
8 45 24114
8 47 30622
8 49 31539
8 50 2961
8 51 31048
8 52 6332
8 53 16853
8 54 8685
8 55 17973
8 56 1923
8 57 12626
8 58 25436
8 59 12574
8 60 1283
9 10 11487
9 11 5142
9 12 32271
9 15 7320
9 16 25254
9 17 5864
9 18 18307
9 19 30059
9 20 11659
9 21 4041
9 22 28806
9 23 23730
9 24 6634
9 26 13888
9 27 26321
9 28 15380
9 29 12343
9 30 17058
9 32 17292
9 33 25699
9 35 4806
9 37 459
9 38 21248
9 39 29746
9 40 19958
9 41 9586
9 42 9895
9 43 25775
9 45 31725
9 46 3699
9 47 9745
9 49 17142
9 50 12771
9 51 6100
9 52 16548
9 53 30375
9 54 3128
9 55 3997
9 57 7365
9 58 27785
9 59 29658
9 60 11558
10 11 5205
10 12 16387
10 14 6536
10 15 32733
10 16 27365
10 17 13822
10 18 5812
10 19 4831
10 20 485
10 21 12513
10 22 404
10 23 1699
10 24 3840
10 25 26061
10 27 9827
10 28 23268
10 30 22807
10 31 13258
10 32 22995
10 33 31634
10 34 22214
10 35 25428
10 36 17370
10 37 14754
10 38 15523
10 39 13862
10 40 21927
10 42 15548
10 43 11422
10 44 11072
10 45 6919
10 46 27279
10 47 10597
10 48 12838
10 49 32351
10 50 14510
10 51 11552
10 52 22642
10 53 16606
10 54 21732
10 55 18974
10 56 4498
10 57 20317
10 58 11012
10 59 12291
10 60 24557
11 12 22916
11 13 3607
11 14 30597
11 15 16779
11 17 2963
11 19 14835
11 20 15465
11 21 19789
11 22 9936
11 23 26870
11 24 1910
11 25 5856
11 26 25203
11 27 21072
11 28 13
11 29 18242
11 30 29933
11 31 26807
11 33 28455
11 34 2361
11 35 23211
11 36 18813
11 37 29742
11 38 23354
11 40 29719
11 41 21992
11 42 2447
11 43 30714
11 44 23152
11 45 11454
11 46 28212
11 47 11037
11 49 13429
11 50 28862
11 52 2948
11 53 32469
11 54 1718
11 55 25030
11 56 6616
11 57 13595
11 58 9987
11 60 11557
12 13 3743
12 14 26776
12 16 18433
12 17 21240
12 18 6164
12 19 15296
12 21 21246
12 23 29919
12 24 12489
12 25 160
12 26 27811
12 27 839
12 28 7515
12 29 4035
12 30 17019
12 31 26896
12 32 4772
12 33 13315
12 34 16339
12 35 8987
12 36 12275
12 37 28786
12 38 30103
12 39 21926
12 40 7979
12 43 24227
12 44 24228
12 45 14368
12 47 8648
12 48 20448
12 49 4535
12 50 18668
12 51 13733
12 52 14884
12 53 4290
12 54 20789
12 56 24647
12 57 27738
12 58 31184
12 59 4809
13 14 28699
13 15 15099
13 16 9203
13 17 28855
13 19 12138
13 21 28140
13 22 5508
13 23 22765
13 24 24042
13 25 24844
13 26 23305
13 27 7588
13 28 24765
13 29 8528
13 30 8556
13 32 21362
13 33 11025
13 34 31239
13 35 18869
13 36 22763
13 37 22722
13 38 26853
13 40 2862
13 41 28108
13 42 30000
13 43 12550
13 44 21423
13 45 18681
13 47 917
13 48 9493
13 49 8576
13 51 15453
13 53 5623
13 54 110
13 55 8050
13 56 30122
13 57 10736
13 58 22461
13 59 3606
13 60 22961
14 15 32129
14 16 11370
14 17 11348
14 18 24438
14 19 22434
14 21 7819
14 23 26168
14 25 21496
14 26 21848
14 28 7060
14 29 16121
14 30 28446
14 32 1892
14 33 5624
14 34 18283
14 35 7119
14 36 14236
14 37 11273
14 39 24770
14 40 16706
14 41 95
14 42 21564
14 43 18863
14 46 27857
14 47 6713
14 48 11433
14 49 3266
14 50 4459
14 51 17892
14 52 28392
14 53 4267
14 54 8926
14 55 20431
14 56 27467
14 57 10926
14 59 27956
14 60 17311
15 16 15384
15 17 16760
15 18 14480
15 19 5293
15 20 26496
15 21 10394
15 23 20199
15 24 31685
15 25 8517
15 26 12109
15 27 7468
